Reference(s),Value,LibPart,Footprint,Cambiar a un tamanho un poco mayor,,
C1,1uF,Device:C,Capacitors_SMD:C_0402,,,
C2,0.1uF,Device:C,Capacitors_SMD:C_0402,,,
C3,1uF,Device:C,Capacitors_SMD:C_0402,,,
C4,0.1uF,Device:C,Capacitors_SMD:C_0402,,,
C5,4.7nF,Device:C,Capacitors_SMD:C_0402,,,
C6,4.7nF,Device:C,Capacitors_SMD:C_0402,,,
C7,1.5nF,Device:C,Capacitors_SMD:C_0402,,,
C8,1uF,Device:C,Capacitors_SMD:C_0402,,,
C9,0.1uF,Device:C,Capacitors_SMD:C_0402,,,
C10,10uF,Device:C,Capacitors_SMD:C_0402,,,
C11,1uF,Device:C,Capacitors_SMD:C_0402,,,
C12,1uF,Device:C_Small,Capacitors_SMD:C_0402,,,
C13,0,Device:C_Small,Capacitors_SMD:C_0402,,,
C14,0,Device:C_Small,Capacitors_SMD:C_0402,,,
C15,0,Device:C_Small,Capacitors_SMD:C_0402,,,
C16,1uF,Device:C,Capacitors_SMD:C_0402,,,
C17,0.1uF,Device:C,Capacitors_SMD:C_0402,,,
C18,1uF,Device:C,Capacitors_SMD:C_0402,,,
C19,0.1uF,Device:C,Capacitors_SMD:C_0402,,,
C20,12pF,Device:C_Small,Capacitors_SMD:C_0402,,,
C21,12pF,Device:C_Small,Capacitors_SMD:C_0402,,,
C22,47pF,Device:C_Small,Capacitors_SMD:C_0402,,,
C23,47pF,Device:C_Small,Capacitors_SMD:C_0402,,,
C24,0,Device:C_Small,Capacitors_SMD:C_0402,,,
C25,0,Device:C_Small,Capacitors_SMD:C_0402,,,
C26,0,Device:C_Small,Capacitors_SMD:C_0402,,,
C27,1uF,Device:C_Small,Capacitors_SMD:C_0402,,,
C28,1uF,Device:C_Small,Capacitors_SMD:C_0402,,,
C29,0.1uF,Device:C_Small,Capacitors_SMD:C_0402,,,
C30,1uF,Device:C_Small,Capacitors_SMD:C_0402,,,
C31,0,Device:C_Small,Capacitors_SMD:C_0402,,,
C32,10uF,Device:C,Capacitors_SMD:C_0402,,,
C33,47pF,Device:C_Small,Capacitors_SMD:C_0402,,,
C34,47pF,Device:C_Small,Capacitors_SMD:C_0402,,,
D2,LED_Small,Device:LED_Small,LEDs:LED_0603,,,
D4,LED_Small,Device:LED_Small,LEDs:LED_0603,,,
D5,LED_Small,Device:LED_Small,LEDs:LED_0603,,,
E1,MDBT42Q-512KV2,MDBT42Q-512KV2:MDBT42Q-512KV2,RAYTAC_MDBT42Q-512KV2,,,
L1,10uH,Device:L_Small,Inductors_SMD:L_0603,,,
L2,15nH,Device:L_Small,Inductors_SMD:L_0603,,,
Q1,Q_NPN_BCE,Device:Q_NPN_BCE,TO_SOT_Packages_SMD:SOT-23,,,
Q2,Q_NPN_BCE,Device:Q_NPN_BCE,TO_SOT_Packages_SMD:SOT-23,,,
Q4,Q_PMOS_GSD,Device:Q_PMOS_GSD,Package_TO_SOT_SMD:SOT-23,,,
R1,R1,Device:R,Resistors_SMD:R_0402,,,
R2,R2,Device:R,Resistors_SMD:R_0402,,,
R3,30k,Device:R,Resistors_SMD:R_0402,,,
R4,2.2k,Device:R_Small,Resistors_SMD:R_0402,,,
R5,470,Device:R_Small,Resistors_SMD:R_0402,,,
R6,30k,Device:R,Resistors_SMD:R_0402,,,
R7,2.2k,Device:R_Small,Resistors_SMD:R_0402,,,
R8,1k,Device:R_Small,Resistors_SMD:R_0402,,,
R9,1k,Device:R_Small,Resistors_SMD:R_0402,,,
R10,30k,Device:R,Resistors_SMD:R_0402,,,
R11,470,Device:R_Small,Resistors_SMD:R_0402,,,
R12,2.2k,Device:R_Small,Resistors_SMD:R_0402,,,
R13,470,Device:R_Small,Resistors_SMD:R_0402,,,
R14,100k,Device:R,Resistors_SMD:R_0402,,,
R15,100k,Device:R,Resistors_SMD:R_0402,,,
R16,30k,Device:R,Resistors_SMD:R_0402,,,
R17,1M,Device:R,Resistors_SMD:R_0402,,,
R18,30k,Device:R,Resistors_SMD:R_0402,,,
R19,30k,Device:R,Resistors_SMD:R_0402,,,
R20,1k,Device:R_Small,Resistors_SMD:R_0402,,,
R21,10k,Device:R_Small,Resistors_SMD:R_0402,,,
R24,R1,Device:R,Resistors_SMD:R_0402,,,
R25,R2,Device:R,Resistors_SMD:R_0402,,,
U1,ADP160AUJZ-3.0-R7,EvBoard1-rescue:ADP160AUJZ-3.0-R7-eecADP,adp:Analog_Devices-UJ-5-04_2017-B-IPC_A,,,
U2,Cambiar,EvBoard1-rescue:ADS1192IPBS-eec,eec:Texas_Instruments-ADS1192IPBS-Level_A,,,
U4,ADP160AUJZ-3.0-R7,EvBoard1-rescue:ADP160AUJZ-3.0-R7-eecADP,adp:Analog_Devices-UJ-5-04_2017-B-IPC_A,,,
U5,Cambiar,,,,,
U6,MCP73831-2-OT,Battery_Management:MCP73831-2-OT,TO_SOT_Packages_SMD:SOT-23-5,,,
U7,OPA847xDBV,Amplifier_Operational:OPA847xDBV,TO_SOT_Packages_SMD:SOT-23-6,,,
Y1,Cambiar,,,,,cambiar
